Audio file,display_name,Singing starts (minutes:seconds:00),Singing ends (minutes:seconds:00),Notes,Tonic,Raga
2018_11_13_am_Sec_1_P2_Varaali_slates,Performer1_Sess1_Varali,00:29:00,05:00:00,,197,varaali
2018_11_13_am_Sec_2_P1_Shankara_slates,Performer1_Sess1_Shankarabharanam,00:31:00,05:34:00,,197,shankara
2018_11_13_am_Sec_3_P1_Anandabhairavi_slates,Performer1_Sess1_Anandabhairavi,00:29:00,04:13:00,,187,anandabhairavi
2018_11_13_am_Sec_3_P3_Kalyani_slates,Performer1_Sess1_Kalyani,00:25:00,04:47:00,,187,kalyani
2018_11_13_am_Sec_3_P5_Todi_slates,Performer1_Sess1_Todi,00:15:00,05:05:00,,187,todi
2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari,00:27:00,04:41:00,,193,bilahari
2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana,00:18:00,01:59:00,,193,atana
2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali,01:34:00,03:42:00,,193,varaali
2018_11_13_pm_Sec_1_P2_Anandabhairavi_slates,Performer1_Sess2_Anandabhairavi,03:56:00,07:07:00,,193,anandabhairavi
2018_11_13_pm_Sec_2_P1_Kalyani_slates,Performer1_Sess2_Kalyani,01:09:00,04:17:00,,193,kalyani
2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA,00:32:00,04:30:00,,193,todi
2018_11_13_pm_Sec_3_P2_Todi_B_slates,Performer1_Sess2_TodiB,01:29:00,05:16:00,,193,todi
2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam,00:21:00,04:45:00,,193,shankara
2018_11_13_pm_Sec_5_P1_Bilahari_slates,Performer1_Sess2_Bilahari,00:12:00,03:48:00,,193,bilahari
2018_11_13_pm_Sec_5_P2_Atana_slates,Performer1_Sess2_Atana,00:43:00,02:23:00,,193,atana
2018_11_15_Sec_1_P1_Anandabhairavi_A_slates,Performer2_Sess1_AnandabhairaviA,03:35:00,07:32:00,,198,anandabhairavi
2018_11_15_Sec_2_P1_Anandabhairavi_B_slates,Performer2_Sess1_AnandabhairaviB,00:28:00,04:30:00,,198,andandabhairavi
2018_11_15_Sec_3_P1_Anandabhairavi_C_slates,Performer2_Sess1_AnandabhairaviC,00:42:00,04:10:00,,198,anandabhairavi
2018_11_15_Sec_4_P1_Shankara_slates,Performer2_Sess1_Shankarabharanam,00:24:00,07:01:00,,198,shankara
2018_11_15_Sec_6_P1_Varaali_slates,Performer2_Sess1_Varali,00:26:00,03:53:00,,198,varaali
2018_11_15_Sec_8_P1_Bilahari_slates,Performer2_Sess1_Bilahari,00:22:00,04:10:00,,198,bilahari
2018_11_15_Sec_9_P1_Todi_slates,Performer2_Sess1_Todi,00:26:00,07:10:00,,198,todi
2018_11_15_Sec_10_P1_Atana_slates,Performer2_Sess1_Atana,01:05:00,04:35:00,,198,atana
